Word,Count
tencent,4427
saya,1
bukan,17
main,2
profesional,168
tapi,8361
kami,5
langsung,1
komplain,96
karena,8
pada,13
update,9901
saat,5
ini,2
masih,5171
banyak,2
bug,11447
yang,19220
jadi,3
dan,19747
paling,1
umum,1
adalah,1397
frame,1204
di,12878
awal,3
tiap,43
kali,4
parasut,116
buka,3
turun,2
akan,1
mati,1
sering,10
gitu,49
tolong,1
baik,2
gan,491
squad,296
bisa,2
garagara,27
kd,62
seperti,210
kalau,5890
mau,3
cepat,3
naik,3
telah,20
dari,1
pesawat,142
tidak,6
dapat,2
karakter,6
gantung,6
tiba,67
ketuk,3
keluar,1
mobil,48
freezedelay,2
dulu,1809
sangat,6
ganggu,1
dorong,3
musuh,3
rumah,9
rasa,9
solo,3
teman,6
lihat,3
map,1
lewat,5
jendela,1
pagar,4
masuk,3
pintu,90
harus,21
relog,330
ambil,6
warna,3
hitam,28
tantang,6
pochinki,25
runtuh,1
ping,951
ijo,14
alam,2
enam,2
atas,7
perangkat,1
cara,5
seluruh,2
gamenya,3865
bagus,3
apalagi,938
grafik,1
makin,1895
namun,2074
ada,3
sedikit,2
kecewa,3
yaitu,406
lengkap,3
senjata,1
hilang,6
buang,2
isi,3
tas,1
walaupun,543
sudah,13
mohon,3
lagi,6898
sukses,4
selalu,2577
ya,1831
pubg,7600
sekali,37
masalah,9
ketika,5
dalam,1
player,482
suka,1
kembali,37
ke,4081
tempat,2
padahal,5928
jalan,3
temu,3
dengan,4
itu,50
sedang,160
tarung,1
jarak,1
dekat,3
aku,2
malah,3
saja,4852
keluh,6
agar,2348
hal,7
sama,11
terima,3
kasih,3
perlu,5
utama,26
mode,65
tdm,263
tinggal,15
arena,216
sparring,1
jebak,1
gedung,6
kenapa,3607
baru,9
high,83
black,70
lama,8
normal,3
sistem,97
buat,2
game,12499
cinta,4
bantu,1
mobile,1561
karakin,44
darat,4
bugnya,2152
oh,150
penasaran,12
apakah,524
selesai,6
air,2
memang,1
benar,3
penuh,2
nyaman,3
jika,3274
kurang,10
contoh,23
intip,3
hold,11
asli,3
tibatiba,1796
tap,2
ubah,4
terkadang,799
tombol,69
express,1
love,14
guna,3
sinyal,7
jujutsu,10
kaisen,8
direcall,9
oleh,4
lompat,14
posisi,3
tahu,3
segera,63
tanpa,607
sebab,14
lapor,1
beberapa,1102
tetapi,898
nyata,2
respon,374
tonton,1
periksa,3
sebut,2
berkalikali,244
tarik,1
gerak,2
lancar,3
grafis,3
smartphone,99
pun,639
hdr,49
akhirakhir,142
jatuh,3
pas,3
ammo,10
maju,7
mundur,40
sendiri,13
lag,3785
banget,2930
tambah,9
zombie,343
survival,38
lain,57
manja,3
para,1409
gamers,73
jangan,1
sampai,6
kapasitas,110
gbnya,54
sayang,10
juga,3452
bahkan,1322
kadang,1441
kita,3
duluan,44
anda,1751
berat,3
hati,7
ram,3
prosesor,11
olah,1
besar,5
kentang,2
bakal,23
processornya,13
tinggi,2
force,210
close,310
kartu,4
penting,3
untuk,3
rate,141
bagai,1
tiga,2
cerdas,8
belum,1142
bagi,3
bilang,6
mudah,2
maaf,3
error,877
aplikasi,3
luar,5
wajib,6
mereka,1
beri,1
yuk,50
hashtag,1
uninstall,501
parah,3
serampang,1
hitung,2
matang,2
aspek,10
serius,4
dimanamana,112
jaring,1
stabil,3
lebih,9
buruk,1
notifikasi,16
server,1625
dar,151
pindah,2
file,311
gajah,1
henti,3
suara,1
mic,411
bae,1
arenaarcade,1
gak,3699
hapus,2
aja,346
survey,5
nilai,3
tekan,6
alias,45
manfaat,5
saran,23
fokus,6
gameplay,437
kesel,5
soal,105
udah,599
kena,11
rusak,6
diupdate,1029
habis,1
simpan,3
berapa,15
puas,3
tencen,230
rendering,143
orang,23
balik,1
bukit,3
ketat,1
aman,1
pindai,1
cheat,303
turut,1
keras,6
begitu,1
oke,38
baca,3
min,1
ngomongngomong,28
tanding,3
rank,471
bawah,1
terus,12
champion,2
betah,67
lamalama,70
laku,3
langkah,2
mini,34
atau,19
curang,2
bingung,3
apa,2
atur,37
tulis,3
layar,72
sekarang,2836
hanya,46
repot,21
dahulu,1
semua,470
nikmat,3
adil,8
halo,332
depelover,13
bintang,3
staf,1
kerja,3
optimal,1
ratus,3
sulit,3
leluasa,17
bangun,2
tembak,3
maka,510
kaku,53
developer,244
salah,3
selidik,4
nih,42
biar,8
nggak,51
heran,3
kini,2
servernya,334
dev,112
drop,52
milik,3
rendah,6
ponsel,1066
ponselnya,93
dukung,9
fps,990
barbar,2
battle,348
harap,9
perhati,29
mulai,101
hp,3695
hingga,15
tab,4
gb,1987
sakit,3
stuck,678
fpsnya,235
freeze,377
event,1221
transparan,39
alami,42
panjang,5
masa,88
peta,4
mirip,50
dunia,3
arti,4
misal,6
satu,12
wilayah,3
mana,3
sehingga,932
suatu,75
satusatunya,82
lemah,1
offline,39
kembang,3
alangkah,50
latih,15
minim,49
sumpah,1
sentuh,3
hentihentinya,2
sekitar,4
area,84
pasti,7
bingkai,1
kelas,1
dewa,27
saudara,9
hpnya,212
cm,17
versi,53
nougat,8
waktu,2
ane,278
seru,10
loading,447
makan,3
menit,9
sebal,3
permisi,6
start,2
match,307
dasar,2
sambil,3
tunggu,2
lobi,2
jelas,2
akun,4
login,1781
ulang,3
verifikasi,7
gagal,1
tepat,3
puzzle,33
gambar,1
bukti,3
rekam,3
serta,2
sini,5
pernah,758
respawn,53
ayo,50
pubgm,396
looting,104
item,11
lempar,3
kill,81
sungguh,5
ms,341
sepi,1
berantak,68
msnya,15
aneh,4
terlalu,10
eventnya,168
kalian,767
biasa,2
ingin,3
reload,126
backpack,10
susah,4
worth,18
it,20
cocok,3
cuma,681
keluarkeluar,1
skin,1110
fix,222
kalah,3
tangguh,11
terusterusan,27
