Word,Count
saya,1
bukan,17
main,2
profesional,168
tapi,8361
kami,5
langsung,1
komplain,96
karena,8
pada,13
saat,5
ini,2
masih,5171
banyak,2
yang,19220
jadi,3
dan,19747
paling,1
umum,1
adalah,1397
di,12878
awal,3
tiap,43
kali,4
parasut,116
buka,3
turun,2
akan,1
mati,1
sering,10
gitu,49
tolong,1
baik,2
gan,491
bisa,2
seperti,210
kalau,5890
mau,3
cepat,3
naik,3
telah,20
dari,1
pesawat,142
tidak,6
dapat,2
karakter,6
gantung,6
tiba,67
ketuk,3
keluar,1
mobil,48
dulu,1809
sangat,6
ganggu,1
dorong,3
musuh,3
rumah,9
rasa,9
cakap,2
gram,2
registrasi,2
bela,2
gerbang,2
terjemah,2
kejap,2
basoka,2
rangkai,2
jemput,2
dermaga,2
bangsa,2
qua,2
walau,1
berjejaring,2
benet,2
kecapi,2
mengkompensasi,2
fragmen,2
barusan,2
via,2
restorasi,2
karuan,2
goyah,2
trap,2
emansipasi,2
personal,2
risau,2
