Word,Count
tencent,5021
player,3792
profesional,289
keluh,586
update,10994
bug,13301
frame,1283
buka,1161
parasut,606
turun,2288
mati,1577
kayak,962
masak,214
squad,312
nurunin,14
kd,78
cepat,1392
pesawat,1601
karakter,567
gelantung,2
knockmati,7
turunnaik,4
mobil,848
ngefrezedelay,2
menggangu,156
ngepush,34
musuh,3429
rumah,499
solo,159
teman,1773
map,1494
jendelapagar,2
masuk,3335
pintu,344
relog,278
mungut,2
hitam,489
ambil,453
challenge,6
pochinki,23
ruins,21
ping,1238
hijau,245
mengalami,77
enam,4
divicenya,2
game,18028
bagus,6349
grafik,2541
makinn,3
mantap,352
kecewa,2092
alat,29
senjata,1641
hilang,1577
buang,172
isi,173
tas,97
sukses,99
pubg,7630
banyak,470
pas,3046
suka,2320
padahal,248
jalan,708
ketemu,688
close,290
combat,49
muterin,1
iya,2756
biar,1145
terima,2120
kasih,3580
mode,1764
tdm,320
arena,190
tanding,262
jebak,33
gedung,35
new,93
old,63
sistem,531
create,68
mobile,1557
cinta,497
karakin,48
landing,46
tahu,55
kelar,40
air,142
penuh,246
nyaman,1742
bikin,1167
peek,15
asli,154
hold,13
tap,27
ganti,690
terkadang,405
tombol,579
sinyal,2187
device,940
jujutsu,7
kaisen,7
direcall,13
lompat,222
posisi,209
mohon,3293
ganggu,788
report,109
tuju,97
respon,447
ingame,112
spectator,63
ceket,7
tarik,372
gerak,682
halus,75
dismartphone,1
pakai,2688
hadir,108
tetap,505
drop,876
ammo,17
bolak,26
lag,4246
sangat,2546
zombi,53
survival,43
lai,95
manja,22
gb,2236
kapasitas,391
kasihan,200
ngeframe,370
duluan,97
perhati,446
ram,3070
prosesor,56
olah,10
gede,327
kentang,850
force,198
kartu,93
framrate,1
smart,5
playing,8
bilang,333
gampang,96
maaf,747
saudara,68
laki,64
error,824
aplikasi,879
perangkat,212
komplain,44
wajib,40
ayo,100
ramai,190
hastag,3
uninstall,792
hancur,286
hitung,67
matang,4
lihat,902
aspek,8
punggana,1
parah,2511
jaring,3361
stabil,1224
muncul,680
server,1489
merespon,298
pindah,585
belah,422
file,376
gajah,2
terooos,2
mic,375
sound,38
bae,4
arenaarcade,1
survei,4
nilai,57
mmberatkan,1
alias,62
unfaedah,2
saran,832
fokus,125
gameplay,595
fix,684
kesal,250
sm,58
beres,68
selalu,676
patah,1384
kadang,1603
baharu,419
jelek,685
jaringannnya,1
simpan,604
gedek,1
donk,181
utama,231
puas,357
voice,127
render,144
bukit,14
ketat,64
aman,518
pindai,1
cheat,374
keras,57
sisa,112
okee,10
baca,240
min,751
ngomong-ngomong,37
match,690
rank,587
rendah,364
jagojago,1
mood,41
lama,28
suara,851
step,335
mini,46
tautau,7
curang,249
kacau,143
atur,478
pulak,5
tulis,443
layar,380
save,29
sakit,86
nikmat,215
adil,155
halo,198
depelover,15
bintang,1803
staf,2
optimal,184
ratus,37
buruk,636
bangun,136
tembak,785
seenjata,1
kaku,54
developer,1634
salah,637
selidik,6
mush,6
keluar,158
tempur,620
pantas,69
henti,332
hallo,139
hp,4776
support,174
fps,1119
kalah,276
barbar,37
kena,468
hit,83
gamen,2
jaringan,83
hinga,2
tab,10
nyangkut,104
turus,5
mentok,95
macet,317
event,1755
tembus,127
pandang,72
alami,176
normal,415
terimakasih,1473
peta,302
dunia,118
nyata,124
maksud,85
mapspeta,1
daerah,51
saan,1
offline,32
alangkah,37
training,57
minimsusah,1
ituuu,2
tekan,126
sumpahh,2
sentuh,45
contoh,195
shooting,3
darat,182
terjun,515
area,41
kelas,80
dewa,35
abang,21
versi,909
nougat,5
kessel,2
minus,132
lebik,32
selang,7
asyik,305
loading,638
makan,390
menit,174
jengkel,107
lgsung,3
permisi,20
start,48
inti,99
tunggu,426
lobby,716
akun,543
log,175
ulang,1160
verifikasi,91
gagal,414
puzzle,41
gambar,205
andai,33
bukti,36
rekam,21
cantum,15
respawn,43
pubgm,758
sekarang,388
looting,140
barang,109
kill,181
sungguh,158
rusak,509
sepi,191
ngeclucht,1
aneh,677
dasar,67
perbaiki,497
tambah,94
kendala,443
loting,10
reload,121
backpack,8
loot,127
susah,1144
padan,27
tir,3
skin,1441
masala,5
top,238
peduliin,1
seru,1027
tanah,253
pohon,54
box,35
container,2
resah,173
dc,57
minimal,146
suruh,304
spek,468
kesan,56
kembang,348
mengenyampingkan,1
alam,864
konteks,3
perang,662
tahan,156
evaluasi,11
tema,89
sesion,24
bentuk,44
sedih,49
lembang,2
lapor,218
level,352
infinite,85
kunjung,19
tanggap,281
selesai,517
spesifikasi,157
handphone,284
dukung,281
segi,276
hadehhhhhh,1
emosi,139
pribadi,79
signifikan,20
nuansa,9
ukur,505
internal,227
tim,647
menuru,1
blur,61
rate,172
matching,82
selamat,72
malam,159
demger,1
dngar,1
minn,9
trial,19
hapus,820
permanen,71
buat,55
bundle,15
shop,25
bayang,34
gelap,26
cahaya,16
silau,2
fitur,622
pencet,145
single,21
erangel,184
pc,288
butuh,351
lancar,1943
akibat,118
filter,2
bahasa,46
kasarnegatif,1
kdg,4
kmbali,10
paket,253
oky,7
tggal,1
kmbli,1
semoga,798
time,96
android,507
ios,50
beda,462
detik,219
harga,184
cc,6
banding,147
telepon,76
seluler,228
tenang,26
nonton,127
iklan,29
menyesal,61
ladang,2
tiktok,14
enak,761
gilir,150
login,1333
bosen,106
realistis,129
non,25
just,6
fun,24
kontrol,304
serasa,76
terpukau,48
kontruksi,1
cheer,15
park,18
istimewa,8
betah,42
jongkok,34
ngepron,7
goucts,1
touch,22
coba,1166
cina,18
tombal,2
rutin,11
mikrofon,27
nyala,52
layak,42
senang,345
tibatiba,280
freeze,272
pertamatama,1
mumpuni,135
informasi,53
internet,358
sensasi,27
season,1603
cycle,1
alas,145
prediksi,6
minat,370
adaptasi,19
signal,142
mbps,55
krafton,193
pusing,68
home,31
screen,81
notifikasi,43
klik,48
sulit,377
paham,64
belanja,12
arti,161
cari,171
burik,151
rehat,2
tambahin,153
copy,7
control,94
paste,6
kompetitif,24
comeback,19
layout,26
ubah,618
manual,23
sadis,7
keren,448
lawan,432
haldibalik,1
segitu,73
sanggup,42
console,4
praktis,3
efisien,14
mudah,407
jangkau,12
jari,33
situasi,12
tara,48
hati,123
tegang,36
cetera,4
kotoran,47
dark,7
download,2539
ff,210
veteran,10
berani,5
urung,2
niat,73
klen,5
dagu,16
karyawannya,1
inventori,14
kraton,5
optimalisasi,39
mas,215
developerny,4
normalny,1
gendre,1
resource,126
hormat,197
kerjasamanya,8
chipset,116
high,121
end,137
kaya,890
snapdragon,237
mediatek,38
bela,12
bain,20
config,81
active,1
ujung,134
baned,24
terus,71
panas,100
sebentar,112
upgrade,595
wifi,1295
guna,39
data,1454
date,31
fersi,19
kamaren,2
det,1
payah,96
era,81
pegang,105
kuat,379
gemar,113
sangkut,29
sepeda,8
hasil,393
zona,251
jepit,9
pasrah,11
perbaikin,196
email,110
slide,6
puluh,29
coy,14
bahan,10
bakar,22
manfaat,58
nomor,273
auto,238
aim,172
broken,57
wall,11
panjat,8
glich,2
nabrak,34
angin,19
shotgun,26
damage,149
analog,100
lepas,78
memori,416
aja,99
dm,4
gegara,12
fc,22
koneksi,1015
habis,1382
benar,51
karier,2
gada,65
skor,32
peringkat,64
nambah,284
daritdi,1
hanya,56
cuan,6
dipikirin,11
elit,17
call,37
duty,34
settingan,137
dapat,45
harap,609
system,54
nol,24
tonton,98
rasa,68
bgttt,2
sumpah,152
gajelas,138
chicken,76
merah,171
lohhh,5
buram,23
hd,274
imbang,186
bijak,39
sisi,60
lain,64
mahir,5
menangin,1
jarang,195
juara,4
kouta,66
lumayan,353
password,9
cocok,102
jam,187
ruwet,7
sayang,447
kalau,194
akal,128
blikin,1
seperti,138
kngenkan,1
musim,93
reel,4
nh,4
mmbuat,9
gausah,64
niru,8
pokus,1
berkah,2
sorak,36
boro,13
mental,42
hio,32
pengaruh,169
state,36
konsisten,27
kompatibel,9
heran,65
oke,408
online,74
ngeluh,132
periksa,43
nyelesain,8
ngerender,11
ditutunin,1
super,74
smooth,310
bawah,3
kesini,372
kesana,16
siang,38
jaman,46
kualitas,354
bar,98
jumpingsudah,1
titik,32
battle,279
ooiii,1
bang,92
batas,185
failed,22
gara,585
speed,32
busuk,44
luka,11
rekan,121
random,126
open,77
pensi,211
pudetan,1
jendela,95
gocekgocek,1
ledek,1
dengar,369
budek,1
amin,14
nyusun,1
captcha,14
susun,4
rapih,6
mindah,2
mindahin,1
terinstal,11
playstore,112
pasang,75
website,8
site,1
rugi,616
copot,25
notif,62
apk,305
playstor,5
ketimbang,37
ngeclose,3
perintah,10
takut,45
alih,111
kiri,130
kanan,134
miring,48
ngerespon,6
anjing,392
semenjak,459
resolusi,52
mid,48
nama,231
kompak,8
dikitdikit,4
ngunduh,11
pin,21
parahsih,1
tantang,106
pokok,198
sedia,94
material,28
temu,192
set,47
jawa,8
jajalin,3
indonesia,165
obb,69
layanan,66
running,12
diupdate,232
rompi,10
helm,39
crash,180
muat,144
servernya,203
tanda,87
atasin,8
sepih,4
banyank,1
ringan,330
free,159
fire,181
mabar,156
kabul,11
tamba,16
laga,61
spesifik,5
padah,23
gem,98
clos,3
klos,1
lari,337
mundur,64
konyol,77
bicara,113
diats,1
arga,1
jtan,2
syukur,11
mala,27
hina,10
kesangupan,1
kendara,452
usaha,89
juang,20
jatuh,168
zaman,23
jaya,137
party,12
nampak,70
hack,43
kana,7
jujur,174
bosan,235
plis,126
marak,9
sponsor,4
ditiktok,1
sosial,16
media,20
user,154
ipad,87
tarok,4
dirank,3
ace,158
kapok,4
campur,15
penting,47
suasana,26
best,81
rage,6
quit,3
cod,32
balance,30
meta,2
size,256
codm,32
peri,4
payer,2
tier,370
platinum,73
concueror,7
pisah,73
math,3
view,57
daya,139
sultan,75
wajar,92
pari,13
kamuflase,2
glider,3
terbang,80
pilih,256
restart,115
agak,19
waras,3
mainin,199
resources,28
kalou,6
sii,14
punn,1
hapenya,7
sam,9
hade,2
ribet,84
baek,4
range,15
extreme,187
olayar,1
hebat,26
deteksi,43
tindak,178
canggih,22
butek,1
amazing,8
ada,81
cuaca,15
hujan,26
lambat,541
komen,80
script,12
peduli,28
rilis,109
suit,5
mumi,6
duo,42
misi,170
royal,232
pass,149
tunda,13
bantu,371
convert,1
lite,73
akhir,56
giga,56
gimanasih,2
nyawa,18
orang,36
pandai,5
reacall,1
handal,25
gmail,13
google,47
play,287
tiru,11
halang,40
app,110
replay,22
full,281
moment,9
mengkill,3
lucu,52
bot,392
gyro,70
reverse,5
aktif,94
gbgb,14
mulus,40
cita,2
rit,41
bom,70
sengaja,83
knock,185
classic,85
ar,19
myhtic,2
forge,1
tukar,29
messagenya,1
gatcha,18
hoki,45
ultra,162
navigasi,4
cacat,210
cipset,3
opsi,55
proses,58
hadap,107
robot,132
momen,15
pelit,127
uc,311
beli,476
ikan,106
gila,132
uang,342
hahaha,12
deplover,12
menang,118
gonta,16
im,5
tsel,4
tetangga,31
janda,1
pirang,1
jandanbohay,1
kebal,16
peluru,240
lolos,9
serius,59
semangat,158
tampa,22
pikir,388
smngt,2
tinggirendah,2
strategi,26
zanmang,1
loopy,1
anak,50
kreatif,8
bayi,1
ngotak,78
tidak,279
kocak,30
buy,1
trisula,1
timbul,52
cheater,914
reflek,5
china,25
cek,127
saja,17
paksa,228
bwah,2
mngkin,10
install,425
bye,46
langgar,23
viral,2
mainlagi,1
megang,20
tangan,98
utak,6
atik,11
sanksi,20
kenapa,194
kasi,526
request,59
rto,30
avatar,13
kait,52
edit,53
ulas,133
rating,166
lawas,8
glacier,22
lizard,1
thefool,1
reworklupdate,1
massage,3
tambahasan,1
ornamen,2
aju,10
exynos,9
samsung,154
difps,2
maxsimal,2
kasihthnks,1
lelah,165
tusun,13
batu,64
stak,45
kode,38
nihil,13
optimisasi,14
gfx,75
tool,39
ngangkat,10
invinite,4
akk,1
laporin,12
band,16
jls,12
liatin,6
pecahin,1
ban,114
topup,26
kil,13
konnntolll,1
bapak,1
legend,96
sangaaaaat,1
goblooooookkkk,1
emot,13
crown,98
master,31
sempurna,120
otomatis,243
menganggu,51
bermainjaringan,1
stuck,457
bgtdulu,1
delay,217
geser,69
scopescope,1
sensi,21
pertempuranterutamajaringan,1
laku,290
buff,8
hbd,7
nerf,8
neng,44
skill,153
smartphone,112
infinix,20
biasasaja,1
tombo,1
team,308
performance,7
kambing,4
kerap,5
lempar,59
klick,2
situ,148
bebek,1
loncat,110
males,303
mana,20
mps,5
arah,216
samping,45
ngejak,1
miui,8
percumah,5
maksimal,97
tolollll,2
livik,202
asia,175
latency,2
framerate,20
solusi,273
mesti,88
speak,11
mungunduh,1
lowspec,1
terlaluh,1
sehinga,6
pensiun,146
atu,7
acak,19
tingal,3
gantung,45
kandala,1
kinta,1
poco,101
prog,1
performa,181
kerja,152
rajin,9
nabung,6
tabung,2
tangap,7
logout,23
sampah,216
putar,74
sendiriada,1
nyawifi,1
ocean,10
odyssey,3
progress,1
rp,87
progressnya,1
questnya,1
effort,1
dear,251
pan,13
plugin,6
keliar,59
live,19
streaming,24
setia,51
kritik,59
pedoman,1
signale,1
karuan,62
bos,108
reng,9
diamond,64
congueror,5
apalah,8
jangn,15
rangin,164
store,76
bangke,44
semu,5
otak,45
mata,87
putus,241
latih,74
sabar,34
emosional,1
ampun,94
depan,34
realiatis,1
point,154
bay,8
cave,6
romantic,3
swing,3
toko,12
furniture,2
house,2
coin,11
lampir,1
foto,19
screenshoot,1
plish,2
storage,47
lega,8
kritis,9
pepek,4
chiken,66
kompensasi,6
poin,178
susahin,6
puzle,14
nyusahin,11
banget,46
ngecewain,7
susahhhh,1
metro,227
royale,182
chapter,3
zombie,259
uprising,1
detikakhir,1
hak,4
mes,27
pangkat,64
plyer,6
aceh,2
plat,4
tera,50
pajang,5
ngeblink,35
jumping,23
jgan,15
samak,17
Ipad,1
pelor,5
cba,6
kwan,5
room,72
darah,86
basmi,59
chiter,71
resmi,19
bingug,1
mecha,50
total,68
deh,16
bingung,94
sampai,282
kuasa,7
matcmaking,1
matchmaking,54
biji,6
onta,1
bnyknya,2
gudang,20
kabut,19
kwalitas,12
biak,4
didlm,6
mg,2
reloadnya,2
vector,13
tanggung,18
kerjaaaaa,1
fram,24
sdikit,14
toson,5
malah,40
rawat,6
retas,10
region,20
laut,68
samudra,2
bagaimana,55
tears,1
ngantuk,4
seasion,6
dinosaurus,8
closekeluar,3
silah,56
kraftoon,6
animasi,63
dikit,282
rsetart,1
kompeten,3
mact,9
hpsinyal,1
bisah,15
head,10
lebih,85
baik,93
harihari,2
babi,30
bujang,2
bedak,17
gausa,5
emulator,75
recoil,49
ornag,1
tembok,101
jijik,7
framedrop,44
alhamdulillah,17
giroskop,12
mimin,14
gold,61
global,50
pentil,2
gacha,67
setel,41
robah,1
tatap,2
asus,25
rog,22
nyobain,8
seketika,19
kenceng,77
mbs,18
pijak,3
kaca,30
suplai,14
langit,30
kapal,32
simple,18
latar,21
depeloper,6
efffect,1
effect,10
uji,21
testing,1
minum,7
middle,5
rendering,77
fungsi,111
fov,2
rubah,76
lambang,22
relogin,33
klok,19
nggaknya,1
bad,26
bene,1
roket,7
injak,9
recall,123
beacon,2
apa,57
miramar,97
ampas,57
cermin,4
ground,92
anggota,9
bunuh,110
jariangan,3
semago,1
besan,1
pdhai,1
nyan,2
hpjadi,1
padahai,2
tutup,72
difix,24
sematch,1
jumpa,50
vakum,15
perbersar,1
suport,68
maching,1
aftermath,10
ranked,41
slowmotion,2
biru,17
bangunan,12
jalanatau,1
midhigh,1
ngframeadakan,1
midhighmidlow,1
lanjur,31
aladin,11
suplay,6
medium,57
langkah,69
kaget,13
lost,42
hubung,117
coneksi,4
mai,83
push,96
bersih,52
cache,23
kaco,1
ngadetan,1
nikmatin,10
kesel,164
hibur,115
ngehibur,3
ckckckck,2
rada,29
turunin,117
bawa,121
ngegame,5
breakout,7
entah,67
scope,257
digerakin,14
unsur,17
ko,263
try,8
sero,1
audio,103
mobail,4
leg,270
maklum,34
duittapi,1
senjatapakaian,1
proxima,33
dilobby,14
timbang,155
maksut,2
krypton,2
klasik,291
skg,7
gjls,1
headset,35
sensitifitas,13
hanpone,2
henpon,2
samasama,3
henponnya,1
sensitivitas,56
goyang,24
jarak,137
jau,4
haz,1
kemi,1
stap,12
lobi,101
menangissssss,1
plus,75
sikit,10
tahun,4
developor,3
buatin,11
klaim,16
mencetin,1
skip,7
haduhh,6
pulai,67
temankita,1
hadiah,163
bahagia,36
kira,53
maintenance,14
cocokin,4
pazzel,4
mahal,225
kura,3
onmic,3
mbak,483
noob,26
stel,1
anjlok,9
reting,14
benah,89
grade,3
sytem,4
hambat,16
karalter,1
bidik,62
bohong,24
sibuk,40
efek,102
visual,21
making,24
buset,7
menu,135
terkejut,30
bodoh,88
metode,4
bayar,76
indosatgoggle,1
saldo,5
goggle,3
indosa,1
double,13
kredit,2
memyampaikan,1
ipadpad,3
sudut,6
luas,54
suppor,1
tidur,22
pagi,51
kunci,26
coc,9
bandage,5
kedek,1
serame,4
rekomen,3
dasi,1
tlpon,1
comfir,1
naik,87
jangang,3
wajah,11
gerigi,1
blurkurang,1
